location,location_name,product,product_name,supplier,abc_class,service_level,actual_service_level,avg_inventory_value,actual_avg_inventory_value,avg_inventory_units,actual_avg_inventory_units,total_orders,total_order_units,total_ordering_cost,total_actual_demand,total_fulfilled_units,total_lost_sales_units,promo_days,forecast_units,stockout_days,actual_stockout_days,fill_rate,service_level_delta_vs_actual,inventory_value_delta_vs_actual,reorder_point_s,order_up_to_S,lead_time_days,z_value,review_days,purchase_price,sales_price,minimum_delivery_batch
841,LOJA 841,20635,ABRILAR XAROPE 100ML,87021,C,1.0,0.9782608695652174,68.52521739130434,64.83873417721519,1.9130434782608696,1.8101265822784811,2,2,47.0,2.0,2.0,0.0,0,0.0,0,2,1.0,0.021739130434782594,3.686483214089151,1,2,3,0.0,0,35.82,43.04,1
841,LOJA 841,21141,PERCOF XAROPE 120ML,96108,A,1.0,1.0,124.76967391304348,140.4432911392405,3.5760869565217392,4.025316455696203,10,10,259.7,10.0,10.0,0.0,0,0.0,0,0,1.0,0.0,-15.673617226197024,3,4,3,0.0,0,34.89,44.09,1
841,LOJA 841,31330,ABRILAR XAROPE 200ML,87021,C,1.0,1.0,157.1,157.1,2.0,2.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,1,2,3,0.0,0,78.55,95.01,1
841,LOJA 841,35416,EXPECTAMIN XAROPE 120ML,102013,C,1.0,0.9456521739130435,95.70826086956522,22.658987341772153,3.9565217391304346,0.9367088607594937,1,1,11.26,1.0,1.0,0.0,0,0.0,0,5,1.0,0.05434782608695654,73.04927352779308,3,4,3,0.0,0,24.19,27.29,1
841,LOJA 841,35772,EMSEXPECTOR XAROPE 120ML,173,C,0.9782608695652174,0.9456521739130435,45.47304347826086,44.53113924050633,1.9130434782608696,1.8734177215189873,2,2,25.14,2.0,2.0,0.0,0,0.0,2,5,1.0,0.03260869565217395,0.9419042377545352,1,2,3,0.0,0,23.77,16.65,1
841,LOJA 841,36857,NARIX ADULTO 30ML,51356,C,1.0,0.9565217391304348,28.193043478260872,19.470379746835444,3.739130434782609,2.5822784810126582,4,6,10.4,6.0,6.0,0.0,9,0.0,0,4,1.0,0.04347826086956519,8.722663731425428,3,4,3,0.0,0,7.54,6.5,1
841,LOJA 841,42076,HEDRA EXPEC XAROPE 100ML,102013,C,1.0,1.0,72.02402173913043,72.35316455696203,3.402173913043478,3.4177215189873418,0,0,0.0,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,-0.3291428178315954,1,2,3,0.0,0,21.17,32.59,1
841,LOJA 841,44217,BROMELIN S 100ML,33104,C,1.0,1.0,114.72,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,3,0.0,0,57.36,76.25,1
841,LOJA 841,48812,ARLIVRY XAROPE CEREJA 100ML,35610,C,1.0,0.9782608695652174,42.847826086956516,21.345569620253166,1.9565217391304348,0.9746835443037974,1,1,7.49,1.0,1.0,0.0,0,0.0,0,2,1.0,0.021739130434782594,21.50225646670335,1,2,3,0.0,0,21.9,18.49,1
841,LOJA 841,48813,ARLIVRY XAROPE MEL 100ML,35610,C,1.0,1.0,52.627826086956524,51.18949367088608,1.9130434782608696,1.860759493670886,2,2,14.98,2.0,2.0,0.0,0,0.0,0,0,1.0,0.0,1.4383324160704447,1,2,3,0.0,0,27.51,18.49,1
841,LOJA 841,51957,HEDERA CIMED 7MG 100ML,51356,C,1.0,1.0,146.56,36.64,4.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,109.92,3,4,3,0.0,0,36.64,48.79,1
841,LOJA 841,5345,NARIDRIN ADULTO 15ML,173,C,1.0,1.0,67.8170652173913,101.77189873417723,3.7282608695652173,5.594936708860759,6,6,33.36,7.0,7.0,0.0,0,0.0,0,0,1.0,0.0,-33.954833516785925,3,4,3,0.0,0,18.19,15.1,1
841,LOJA 841,54554,ALOFF XPE 60ML,88708,C,1.0,1.0,66.08,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,3,0.0,0,33.04,37.4,1
841,LOJA 841,55917,POLARATUSS LIQ 120ML,29532,C,1.0,1.0,91.13999999999999,60.76,3.0,2.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,30.37999999999999,2,3,3,0.0,0,30.38,34.4,1
841,LOJA 841,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,105913,C,0.9347826086956522,0.9782608695652174,383.9469565217391,1245.5711392405062,2.130434782608696,6.9113924050632916,3,7,304.14,9.0,8.0,1.0,14,0.0,6,2,0.8888888888888888,-0.04347826086956519,-861.6241827187671,1,3,3,0.0,0,180.22,183.2,1
841,LOJA 841,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,105913,C,1.0,0.9456521739130435,200.59826086956522,144.18,2.782608695652174,2.0,3,5,131.39999999999998,5.0,5.0,0.0,14,0.0,0,5,1.0,0.05434782608695654,56.418260869565216,2,3,3,0.0,0,72.09,73.66,1
841,LOJA 841,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,105913,B,1.0,1.0,316.19195652173914,199.85367088607595,2.9239130434782608,1.8481012658227849,2,2,131.42,1.0,1.0,0.0,14,0.0,0,0,1.0,0.0,116.3382856356632,2,3,3,0.0,0,108.14,110.2,1
841,LOJA 841,57912,LORATAMED D XPE 60ML,51356,C,1.0,0.9456521739130435,73.62,22.986835443037975,3.0,0.9367088607594937,0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,1.0,0.05434782608695654,50.63316455696203,1,2,3,0.0,0,24.54,25.9,1
841,LOJA 841,58701,ABRILAR XAROPE L-MENTOL 200ML,87021,C,1.0,1.0,157.17423913043478,158.1915189873418,2.402173913043478,2.4177215189873418,0,0,0.0,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,-1.0172798569070096,1,2,3,0.0,0,65.43,76.99,1
841,LOJA 841,62364,ALOFF XPE 60ML + SER,101141,C,1.0,1.0,74.98,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,3,0.0,0,37.49,45.15,1
841,LOJA 841,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,51356,C,1.0,0.9239130434782609,75.41010869565217,34.933670886075944,1.9673913043478262,0.9113924050632911,1,1,8.02,1.0,1.0,0.0,0,0.0,0,7,1.0,0.07608695652173914,40.476437809576225,1,2,3,0.0,0,38.33,47.3,1
841,LOJA 841,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",111893,C,1.0,1.0,18.38,9.19,2.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,9.19,1,2,3,0.0,0,9.19,10.8,1
841,LOJA 841,9607,NARIDRIN 12H ADULTO 30ML,173,A,1.0,1.0,167.4104347826087,271.76101265822786,5.739130434782608,9.316455696202532,2,12,17.82,11.0,11.0,0.0,0,0.0,0,0,1.0,0.0,-104.35057787561917,3,9,3,0.0,0,29.17,26.76,1
