date;location;product;balance;value
2023-04-22;1314;62782;1;13.61
2023-04-22;1314;48813;0;0
2023-04-22;1314;35416;0;0
2023-04-22;1314;21141;0;0
2023-04-22;1314;48812;0;0
2023-04-22;1314;13315;2;70.5
2023-04-22;1314;44217;0;0
2023-04-22;1314;58701;2;103.34
2023-04-22;1314;20635;9;270.18
2023-04-22;1314;31330;4;263.84
2023-06-10;841;18064;0;0
2023-06-10;841;5345;5;24.95
2023-06-10;841;36857;3;4.86
2023-06-10;841;9607;7;56
2023-06-10;841;58701;1;42.8
2023-06-10;841;31330;2;103
2023-06-10;841;20635;3;70.11
2023-06-10;841;15590;1;31.08
2023-06-10;841;21141;1;25.63
2023-06-10;841;35416;1;5.79
2023-06-10;841;55917;1;9
2023-06-10;841;62782;3;21.03
2023-06-10;841;48812;1;5.98
2023-06-10;841;15589;8;196.24
2023-06-10;841;48813;3;14.97
2023-06-10;841;51957;3;17.16
2023-06-10;841;35772;2;23.84
2023-06-10;841;1439;3;45.3
2023-07-13;1314;62364;2;65.16
2023-07-31;1314;62364;1;32.58
2023-08-14;841;20635;3;70.11
2023-08-14;841;31330;2;103
2023-08-14;841;58701;1;42.86
2023-07-14;1314;57912;7;81.27
2023-07-14;1314;15590;1;40.43
2023-07-14;1314;62782;1;13.61
2023-07-14;1314;51957;2;24.6
2023-07-14;1314;15589;12;355.8
2023-07-14;1314;48813;4;23.96
2023-07-14;1314;35416;4;60.48
2023-07-14;1314;21141;1;25.23
2023-07-14;1314;48812;8;67.6
2023-07-14;1314;1439;6;112.08
2023-07-14;1314;18064;226;876.88
2023-07-14;1314;9607;24;316.08
2023-07-14;1314;36857;8;24.4
2023-07-14;1314;5345;6;49.62
2023-07-14;1314;13315;3;127.47
2023-07-14;1314;44217;2;83.02
2023-07-14;1314;58701;1;51.67
2023-07-14;1314;20635;13;391.04
2023-07-14;1314;31330;4;264.08
2023-08-09;1314;18064;226;876.88
2023-08-09;1314;9607;17;223.89
2023-08-09;1314;1439;4;74.24
2023-08-09;1314;36857;11;33.55
2023-08-09;1314;5345;7;58.03
2023-08-09;1314;44217;2;83.28
2023-08-09;1314;58701;2;103.34
2023-08-09;1314;20635;13;391.17
2023-08-09;1314;31330;5;330.1
2023-08-09;1314;13315;3;131.55
2023-07-06;1314;57912;7;81.27
2023-07-06;1314;15590;0;0
2023-07-06;1314;62782;1;13.61
2023-07-06;1314;51957;2;24.6
2023-07-06;1314;15589;10;296.8
2023-07-06;1314;48813;5;29.95
2023-07-06;1314;13315;3;127.47
2023-07-06;1314;44217;3;124.53
2023-07-06;1314;58701;2;103.34
2023-07-06;1314;20635;14;421.12
2023-07-06;1314;31330;2;132.04
2023-07-06;1314;35416;3;46.05
2023-07-06;1314;21141;0;0
